DateTime,Source,Air Temp,Humidity,Soil Moisture
"April 10, 2021 at 05:21AM",Garden_Data2,20.5,51,774
"April 10, 2021 at 05:36AM",Garden_Data2,20.4,51,774
"April 10, 2021 at 05:50AM",Garden_Data2,20.4,51,774
"April 10, 2021 at 06:05AM",Garden_Data2,20.3,52,774
"April 10, 2021 at 06:20AM",Garden_Data2,20.2,52,774
"April 10, 2021 at 06:34AM",Garden_Data2,20.1,52,774
"April 10, 2021 at 06:49AM",Garden_Data2,20.1,53,774
"April 10, 2021 at 07:03AM",Garden_Data2,19.9,53,774
"April 10, 2021 at 07:18AM",Garden_Data2,20,53,774
"April 10, 2021 at 07:32AM",Garden_Data2,20,54,774
"April 10, 2021 at 07:47AM",Garden_Data2,19.9,54,774
"April 10, 2021 at 08:02AM",Garden_Data2,19.9,55,774
"April 10, 2021 at 08:16AM",Garden_Data2,20,55,774
"April 10, 2021 at 08:31AM",Garden_Data2,20.1,55,774
"April 10, 2021 at 08:45AM",Garden_Data2,20.3,55,774
"April 10, 2021 at 09:00AM",Garden_Data2,20.4,56,774
"April 10, 2021 at 09:14AM",Garden_Data2,20.4,55,774
"April 10, 2021 at 09:29AM",Garden_Data2,20.6,56,774
"April 10, 2021 at 09:44AM",Garden_Data2,20.8,56,774
"April 10, 2021 at 09:58AM",Garden_Data2,21.2,57,774
"April 10, 2021 at 10:13AM",Garden_Data2,21.5,56,774
"April 10, 2021 at 10:27AM",Garden_Data2,21.6,55,774
"April 10, 2021 at 10:42AM",Garden_Data2,21.7,55,774
"April 10, 2021 at 10:56AM",Garden_Data2,21.8,54,774
"April 10, 2021 at 11:11AM",Garden_Data2,22.1,54,774
"April 10, 2021 at 11:26AM",Garden_Data2,22.4,53,774
"April 10, 2021 at 11:40AM",Garden_Data2,22.4,53,774
"April 10, 2021 at 11:55AM",Garden_Data2,22.6,52,773
"April 10, 2021 at 12:10PM",Garden_Data2,22.8,50,774
"April 10, 2021 at 12:24PM",Garden_Data2,22.9,51,773
"April 10, 2021 at 12:39PM",Garden_Data2,22.8,51,773
"April 10, 2021 at 12:53PM",Garden_Data2,23.1,52,772
"April 10, 2021 at 01:08PM",Garden_Data2,23.5,51,772
"April 10, 2021 at 01:23PM",Garden_Data2,23.7,50,770
"April 10, 2021 at 01:37PM",Garden_Data2,23.9,50,769
"April 10, 2021 at 01:52PM",Garden_Data2,24.1,49,769
"April 10, 2021 at 02:06PM",Garden_Data2,24.2,49,769
"April 10, 2021 at 02:21PM",Garden_Data2,24.4,48,768
